Estimate,Std. Error,df,t value,Pr(>|t|),Pedigree,VI.BLUE,Env.DAP,Vegetation.Index,Env.DAP.Pedigree,DAP,Year,Env
0.0040118196223245,0.00186948667129761,232.250549576382,2.14594716502573,0.0329141632486135,W10004_0626/PHZ51,0.322335341903554,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0626/PHZ51,33,2021,TXH3.2021
0.00140757168461214,0.00186943225004468,231.64891972456,0.752940730844084,0.452250027450954,W10004_0628/PHZ51,0.319731093965841,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0628/PHZ51,33,2021,TXH3.2021
0.00569432417974285,0.00184373543827056,216.033644977089,3.08847140514052,0.00227586681974036,W10004_0637/PHZ51,0.324017846460972,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0637/PHZ51,33,2021,TXH3.2021
0.000958772287642082,0.00186296632651638,229.41589741771,0.514648211293718,0.607294317209772,W10004_0639/PHZ51,0.319282294568871,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0639/PHZ51,33,2021,TXH3.2021
0.00203539354212509,0.00186340077537381,229.617921816245,1.09230046967045,0.275845771717704,W10004_0644/PHZ51,0.320358915823354,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0644/PHZ51,33,2021,TXH3.2021
0.00353661882200405,0.00186618190541695,230.759883450403,1.89510937371022,0.0593278705116012,W10004_0645/PHZ51,0.321860141103233,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0645/PHZ51,33,2021,TXH3.2021
0.00235833767783907,0.00186416157811344,230.762727099667,1.26509295413424,0.207114004512433,W10004_0646/PHZ51,0.320681859959068,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0646/PHZ51,33,2021,TXH3.2021
0.000847098967854931,0.00181387054602199,221.804421573717,0.467011810579708,0.640949850134636,W10004_0649/PHZ51,0.319170621249084,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0649/PHZ51,33,2021,TXH3.2021
0.00369700065828273,0.00186009918107648,225.911529001243,1.98752878120359,0.0480714643797132,W10004_0651/PHZ51,0.322020522939512,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0651/PHZ51,33,2021,TXH3.2021
0.000487729788540817,0.00186815463660504,231.167356912123,0.261075704860899,0.794266564901868,W10004_0654/PHZ51,0.31881125206977,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0654/PHZ51,33,2021,TXH3.2021
0.00407126803003743,0.00186654007710293,231.284731103112,2.18118436350773,0.0301776843821821,W10004_0658/PHZ51,0.322394790311267,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0658/PHZ51,33,2021,TXH3.2021
0.00247735998503883,0.00186532062529835,229.057474807864,1.3281148299331,0.185462011446583,W10004_0661/PHZ51,0.320800882266268,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0661/PHZ51,33,2021,TXH3.2021
0.00488804622140842,0.00186762188851779,231.079888436916,2.61725687167211,0.00944909251001808,W10004_0667/PHZ51,0.323211568502638,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0667/PHZ51,33,2021,TXH3.2021
0.000767721161628508,0.00184936693954592,217.409106590537,0.415126465825657,0.678458702093479,W10004_0672/PHZ51,0.319091243442858,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0672/PHZ51,33,2021,TXH3.2021
0.0010276565245552,0.00186791139679652,230.955399682419,0.550163421197405,0.582738968570851,W10004_0678/PHZ51,0.319351178805784,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0678/PHZ51,33,2021,TXH3.2021
0.00549300220446049,0.00186610248238469,230.29619010062,2.94356942146124,0.0035765571957793,W10004_0682/PHZ51,0.32381652448569,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0682/PHZ51,33,2021,TXH3.2021
0.0023362368495345,0.00186788285740224,231.184757955171,1.25074055917169,0.212293499134715,W10004_0684/PHZ51,0.320659759130764,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0684/PHZ51,33,2021,TXH3.2021
0.0024244339934755,0.00181610325350929,221.808594581046,1.33496484232971,0.183256402094139,W10004_0685/PHZ51,0.320747956274705,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0685/PHZ51,33,2021,TXH3.2021
0.00381397173868614,0.00187862916928204,234.71626930574,2.0301887147551,0.0434652764398255,W10004_0687/PHZ51,0.322137494019915,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0687/PHZ51,33,2021,TXH3.2021
0.00347205684871631,0.00186067750292756,228.585924840514,1.86601753568442,0.0633197001807424,W10004_0688/PHZ51,0.321795579129945,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0688/PHZ51,33,2021,TXH3.2021
0.00408491305361474,0.0018159517391549,222.557668982765,2.24946124147317,0.0254617704462627,W10004_0689/PHZ51,0.322408435334844,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0689/PHZ51,33,2021,TXH3.2021
0.0027862415060831,0.00187039638344065,231.611518080625,1.48965295845885,0.137675971015685,W10004_0696/PHZ51,0.321109763787312,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0696/PHZ51,33,2021,TXH3.2021
0.000397213345135772,0.00187052485693027,231.373549383204,0.212353951707245,0.832017866675033,W10004_0697/PHZ51,0.318720735626365,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0697/PHZ51,33,2021,TXH3.2021
0.00180745032234781,0.00186927761655036,230.874743458325,0.966924498718039,0.334593553787162,W10004_0701/PHZ51,0.320130972603577,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0701/PHZ51,33,2021,TXH3.2021
0.00476272550111706,0.00185847463165897,228.501008768906,2.5627067596105,0.0110283854359464,W10004_0702/PHZ51,0.323086247782346,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0702/PHZ51,33,2021,TXH3.2021
0.00251356340571829,0.00185409308234507,224.60886964115,1.35568350351597,0.176561415499389,W10004_0705/PHZ51,0.320837085686947,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0705/PHZ51,33,2021,TXH3.2021
0.00318037268395318,0.00186183323934402,227.13835353717,1.70819416945941,0.0889664896441872,W10004_0712/PHZ51,0.321503894965182,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0712/PHZ51,33,2021,TXH3.2021
0.0051176969662376,0.00185888312204863,227.920312686024,2.75310314324524,0.00637906810589635,W10004_0713/PHZ51,0.323441219247467,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0713/PHZ51,33,2021,TXH3.2021
0.00278003917408709,0.00186832292515329,230.712551171717,1.48798643781508,0.138119976028673,W10004_0714/PHZ51,0.321103561455316,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0714/PHZ51,33,2021,TXH3.2021
0.00250093435642431,0.0018596092675356,226.00425188811,1.34487088233251,0.180014983856536,W10004_0729/PHZ51,0.320824456637653,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0729/PHZ51,33,2021,TXH3.2021
0.00603833799285116,0.00187070697714894,231.676049639906,3.22783742542827,0.00142778421886431,W10004_0736/PHZ51,0.32436186027408,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0736/PHZ51,33,2021,TXH3.2021
-0.0021120539658517,0.00181481224966922,220.966097559389,-1.16378648327763,0.245765644351788,W10004_0741/PHZ51,0.316211468315377,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0741/PHZ51,33,2021,TXH3.2021
0.00321724215544411,0.00186763477908918,231.578456435528,1.7226291732547,0.0862906181763088,W10004_0745/PHZ51,0.321540764436673,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0745/PHZ51,33,2021,TXH3.2021
-0.00111818699162674,0.00185389605508106,224.216617007555,-0.603155170734667,0.54701508945606,W10004_0746/PHZ51,0.317205335289602,TXH3.2021.33,RCC,TXH3.2021.33.RCC.PedigreeW10004_0746/PHZ51,33,2021,TXH3.2021
