"Estimate.BLUE.Yield","Std.Err.Yield","df.Yield","t.val.Yield","Pr.t.Yield","Pedigree","Yield.t.ha.BLUE","Env","Pedigree.Env","Estimate.BLUE.DTA","Std.Err.DTA","df.DTA","t.val.DTA","Pr.t.DTA","DTA.BLUE","Estimate.BLUE.DTS","Std.Err.DTS","df.DTS","t.val.DTS","Pr.t.DTS","DTS.BLUE","ASI","ASI.Abs"
14.2811063031811,1.46062039683119,17.1443490398786,9.77742494501913,1.98899284044415e-08,"2369/LH123HT",14.2811063031811,"TXH2.2021","2369/LH123HT.TXH2.2021",71.2782812766099,1.26055535814366,25.6953169511497,56.5451416442171,1.71675904358885e-28,71.2782812766099,72.7086714976232,1.22366321645212,53.2868447905898,59.4188584898665,2.20104087554923e-50,72.7086714976232,-1.4303902210133,1.4303902210133
-3.42104276851454,1.80845594411964,225.942275990899,-1.89169262300161,0.059810903474396,"B14A/H95",10.8600635346665,"TXH2.2021","B14A/H95.TXH2.2021",0.503054199476248,1.61681818597176,239.994331503062,0.311138385157325,0.755965503760769,71.7813354760861,-0.325930284269975,1.62721664021897,247.032759702,-0.200299257157372,0.841411340363018,72.3827412133532,-0.6014057372671,0.6014057372671
-6.54470936564862,1.80256450146322,223.236615199906,-3.63077679624556,0.000350444093246479,"B14A/MO17",7.73639693753244,"TXH2.2021","B14A/MO17.TXH2.2021",0.462785166109,1.61716801539978,240.119546973691,0.286170120668999,0.77499456573508,71.7410664427189,-0.74648845291018,1.62733662850737,247.101433019888,-0.458717907428211,0.646839963050252,71.962183044713,-0.221116601994098,0.221116601994098
-2.87163104075037,1.81371093586069,228.460562463871,-1.5832903600968,0.114738595914217,"B14A/OH43",11.4094752624307,"TXH2.2021","B14A/OH43.TXH2.2021",1.2100227105913,1.61824082124552,240.837054585379,0.747739579118996,0.455346735069313,72.4883039872012,-0.883957990384546,1.62757772355176,247.290223289423,-0.54311261305269,0.587541469549596,71.8247135072386,0.663590479962608,0.663590479962608
-3.35741846376249,1.80949491979264,226.154035330813,-1.85544508969786,0.0648338762492853,"B37/H95",10.9236878394186,"TXH2.2021","B37/H95.TXH2.2021",2.14463474404408,1.61879571298073,240.873906475959,1.32483347147931,0.186481846368494,73.4229160206539,2.13462550162862,1.62779891595054,247.376690089759,1.31135699914269,0.190953025633135,74.8432969992518,-1.4203809785979,1.4203809785979
-6.5381583474744,1.80834201768075,225.842156563987,-3.61555407303966,0.000369601702491421,"B37/MO17",7.74294795570666,"TXH2.2021","B37/MO17.TXH2.2021",0.388970143609662,1.61669391536615,239.981857696317,0.240596033616894,0.810073634815614,71.6672514202195,0.643915562039321,1.62719665496644,247.02868711229,0.395720799986895,0.69265255428139,73.3525870596625,-1.685335639443,1.685335639443
-6.49163904000615,1.79107175994157,223.481961646009,-3.62444385825051,0.000358568769814168,"B37/OH43",7.78946726317491,"TXH2.2021","B37/OH43.TXH2.2021",0.740254236990075,1.60086456402786,235.965743588484,0.462409034233076,0.644214115531548,72.0185355135999,0.0545456637620504,1.61851612768988,242.288173898681,0.0337010319692666,0.973143302788576,72.7632171613852,-0.744681647785299,0.744681647785299
-4.6369256017443,1.8110713727916,227.030864682134,-2.56032184672927,0.0111064145583259,"B73/MO17",9.64418070143676,"TXH2.2021","B73/MO17.TXH2.2021",1.30145189554524,1.61558851753005,239.395124193868,0.805559015444678,0.421296569043017,72.5797331721551,0.717665088892326,1.62690640697355,246.812176054351,0.44112254141734,0.659510454095306,73.4263365865155,-0.846603414360402,0.846603414360402
-2.89598369829865,1.82754728103465,229.05637683879,-1.58462860488026,0.114430356840128,"B73/PHM49",11.3851226048824,"TXH2.2021","B73/PHM49.TXH2.2021",2.66646604039806,1.63106988884435,242.819193632747,1.63479569982578,0.10338757901902,73.9447473170079,2.43034615923459,1.63558935716556,247.898843500815,1.48591463290414,0.138572320264341,75.1390176568577,-1.19427033984981,1.19427033984981
-2.83600794368363,1.80880779047908,226.341384191398,-1.56788795283356,0.118304230062689,"B73/PHN82",11.4450983594974,"TXH2.2021","B73/PHN82.TXH2.2021",2.51210605442914,1.61608135338817,239.628467128005,1.55444281883609,0.121398531577763,73.790387331039,2.83274919391729,1.62700694688195,246.884636435169,1.74107996240954,0.0829152820266972,75.5414206915404,-1.7510333605014,1.7510333605014
-1.64360897798481,1.80760086665363,225.864275815401,-0.909276493669524,0.364173438431207,"B73/TX779",12.6374973251963,"TXH2.2021","B73/TX779.TXH2.2021",-0.252610400958171,1.61558573629108,239.432836221527,-0.156358400104529,0.875882280624142,71.0256708756517,0.683359776140726,1.62688532296252,246.806748903916,0.420041761085129,0.674820385980413,73.3920312737639,-2.36636039811221,2.36636039811221
-11.372742780977,1.79055013068892,222.964203233391,-6.35153553427811,1.18222138712779e-09,"CG119/CG108",2.90836352220404,"TXH2.2021","CG119/CG108.TXH2.2021",-4.41037499788222,1.60064709338505,235.723968541251,-2.75537001010957,0.00632051286336358,66.8679062787276,-3.26497261160751,1.61838617419001,242.067803502316,-2.01742492841154,0.0447549426282056,69.4436988860156,-2.57579260728799,2.57579260728799
-11.3116324319469,1.80738610416513,225.907357661237,-6.25855892433785,1.93043268569382e-09,"CG44/CGR01",2.96947387123416,"TXH2.2021","CG44/CGR01.TXH2.2021",-1.51179782683511,1.61449943156488,238.914544496951,-0.936387958569785,0.350019021606132,69.7664834497748,-0.899366179096612,1.62655343595715,246.55652752574,-0.552927533282899,0.580814000058402,71.8093053185265,-2.0428218687517,2.0428218687517
