PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-2-1-B2),16,37,1,98,INEW,11,90,16_37,37
((((Tx781 /Tx784))/(Tx781 /Tx789))-1-B16)/Tx779,16,39,1,99,INEW,3.5,25,16_39,39
((Tx777-B50)/(NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26-1-B16),16,41,1,100,INEW,7,60,16_41,41
((GP474?BGTCBLL (glyphosate+liberty link+corn borer)-B10-B21)/Tx779),17,42,2,101,INEW,6,65,17_41,41
((GP739GTCBLLBL)/(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)/((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12-B5-B24))-5-1-B4),17,40,2,102,INEW,8,70,17_39,39
DKC69-99 (2021),17,38,2,103,INEW,12,92,17_37,37
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-B2),17,36,2,104,INEW,10,85,17_35,35
(((Tx777/Tx775)-B5-15-1-1-B28)/GP724GTCBLL),17,34,2,105,INEW,6,45,17_33,33
(((LH195//LAMA2002-58-3-B-B-B-B-B-B-B18)-B3-6-2-1)/Tx779),17,32,2,106,INEW,7,60,17_31,31
LG64C30 (2021),17,30,2,107,INEW,14,96,17_29,29
