PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
(((LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B2-B26-B13-1-B6-B15)/Tx779),21,42,2,181,INEW,7,60,21_41,41
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),21,40,2,182,INEW,8,60,21_39,39
((((Tx781 /Tx789))/(Tx781 /Tx790))-B17-B10)/Tx779,21,38,2,183,INEW,5,25,21_37,37
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-1),21,36,2,184,INEW,7,70,21_35,35
((Tx781 /Tx790)-B2-1-B24)/Tx779,21,34,2,185,INEW,7,40,21_33,33
(((Tx777/Tx775)-B5-12-2-1-B23)/LH195RR),21,32,2,186,INEW,6.5,50,21_31,31
((Tx781 /Tx793)-B4-1-B12)/Tx779,21,30,2,187,INEW,6,35,21_29,29
(((Tx779/Tx780)-B6-04-1-1-B22)/GP724GTCBLL),21,28,2,188,INEW,6,40,21_27,27
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B6-1-B7-B10)/(LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-B19-B18-B3-B?-1-B18-B14),21,26,2,189,INEW,11,90,21_25,25
(((Tx777/Tx775)-B5-12-2-1-B23)/GP739GTCBLLBL),21,24,2,190,INEW,10,70,21_23,23
(((Tx777/Tx775)-B5-12-2-2-B18-B11-B10)/Tx779),21,22,2,191,INEW,7,80,21_21,21
((Tx779)/(Tx777/Tx775)-B5-12-2-1-1-B17),21,20,2,192,INEW,8,45,21_19,19
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-1-B9),21,18,2,193,INEW,9,45,21_17,17
((((CML288/NC300)-B-9-B1-B-B-B-B-B-B-B-B-1-B8-B7-B17/LH82)-1-2-1-B11)/Tx779),21,16,2,194,INEW,8,60,21_15,15
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),21,14,2,195,INEW,7,60,21_13,13
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-1-B1-B7),21,12,2,196,INEW,10,90,21_11,11
(Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25-B2-B?-1-B-B9-B26)/Tx779,21,10,2,197,INEW,7,60,21_9,9
((((B110/FR2128-B/B104-1/CML343)-B-B-11-B-B-B-B/LAMA2002-42-B-B-B)-B-B-B-B-B-1-B2-1-B22-B17-B4-B27-1-B14)/Tx779),21,8,2,198,INEW,2,7,21_7,7
((((Tx781 /Tx789))/(Tx781 /Tx790))-1-B16)/Tx779,21,6,2,199,INEW,5,20,21_5,5
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-1),21,4,2,200,INEW,6,45,21_3,3
