Estimate,Std. Error,df,t value,Pr(>|t|),Pedigree,Rust.BLUE,Experiment,Rust.Score
7.85135861904225,1.51080985814599,12.5458660779267,5.19678805159315,0.000193077891041456,(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP474GT-B12-B15-B23),7.85135861904225,NEUI,Rust.1
0.394323132752714,1.85878620246672,95.0279831833058,0.21214012253234,0.83245207745412,(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP724GTCBLL),8.24568175179496,NEUI,Rust.1
4.78848944976757,1.82199775399473,83.4003403538979,2.62815332196146,0.0102171630223355,(((Tx777/Tx775)-B5-12-2-1-1-B17)/Tx779),12.6398480688098,NEUI,Rust.1
1.01712379135122,1.84820319830745,93.9591656832371,0.550331149888003,0.583398257870606,(((Tx777/Tx775)-B5-12-2-1-B23)/GP724GTCBLL),8.86848241039347,NEUI,Rust.1
3.73731195358449,1.80641186465706,90.1422285798377,2.06891464051251,0.0414176322876179,(((Tx777/Tx775)-B5-12-2-2-1-B14)/GP724GTCBLL),11.5886705726267,NEUI,Rust.1
5.07140174951112,2.27000072070706,93.9851310221896,2.23409697770117,0.0278475694521103,(((Tx777/Tx775)-B5-12-2-2-B18)/LH195RR),12.9227603685534,NEUI,Rust.1
1.02544245174552,1.80365509569335,89.5325949900114,0.568535777263624,0.571094515993966,(((Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13)/LH195RR),8.87680107078776,NEUI,Rust.1
-3.43836034637257,1.83792398365631,92.4108549064234,-1.87078485124962,0.064539481389468,((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),4.41299827266968,NEUI,Rust.1
-1.96952101354448,1.86167733779615,94.5888716118448,-1.05792823147109,0.292782461858611,((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),5.88183760549777,NEUI,Rust.1
0.513150663579524,1.86894067189025,82.5737450061809,0.274567658191377,0.784334183273525,((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-12-2-1-B23),8.36450928262177,NEUI,Rust.1
-0.724503584880692,1.80713725065524,90.3749470591955,-0.400912318429603,0.689430955823065,((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-37-2-1-1-B12),7.12685503416156,NEUI,Rust.1
1.25653174873566,2.19667402668477,88.5830104556033,0.572015571482869,0.568760208935466,((GP474GT-B12-B15-B23)/(Tx778/Tx151)-B5-06-1-1-B6),9.10789036777791,NEUI,Rust.1
-0.442376953668892,1.80559494240289,89.9591184845264,-0.245003429772669,0.80701179584172,((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-1-1-B22),7.40898166537336,NEUI,Rust.1
-2.50711091572861,1.80502263943735,89.9307106531565,-1.38896369549698,0.168273879092967,((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-2-2-B6),5.34424770331364,NEUI,Rust.1
-0.873820721008993,1.85239486758852,94.2688317055861,-0.471724866170973,0.63821320915935,((GP474GT-B12-B15-B23)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),6.97753789803326,NEUI,Rust.1
4.89597997280078,1.86032651567425,94.6341106110573,2.6317852976612,0.00991816914537643,((GP722)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),12.747338591843,NEUI,Rust.1
5.99328801516194,1.85165001953555,93.7702215616599,3.23672829742698,0.00167169896400826,((GP722)/(Tx777/Tx775)-B5-12-2-1-1-B17),13.8446466342042,NEUI,Rust.1
5.68909549823137,1.8042770720726,63.6805515874879,3.15311632913244,0.00246414623528997,((GP722)/(Tx777/Tx775)-B5-12-2-1-B23),13.5404541172736,NEUI,Rust.1
0.882220265213018,1.84442943181535,93.4084052757179,0.478316085178009,0.633542865810798,((GP722)/(Tx777/Tx775)-B5-12-2-2-1-B14),8.73357888425526,NEUI,Rust.1
3.94243166505857,1.85115810943437,94.3608125939405,2.12971093336981,0.0357977690068448,((GP722)/(Tx777/Tx775)-B5-12-2-2-B18),11.7937902841008,NEUI,Rust.1
3.27927015387964,1.7895797362093,78.5416228419669,1.83242472382137,0.0706783359136275,((GP722)/(Tx777/Tx775)-B5-15-1-1-1-B9),11.1306287729219,NEUI,Rust.1
3.56341011575699,1.80544075008552,90.0126947413257,1.9737064844627,0.0514817955069632,((GP722)/(Tx777/Tx775)-B5-15-1-1-B28),11.4147687347992,NEUI,Rust.1
0.0157367311971616,1.84249425358105,92.9175690926699,0.00854099336623484,0.993203667191481,((GP722)/(Tx779/Tx780)-B6-04-1-1-B22),7.86709535023941,NEUI,Rust.1
-0.388596106959146,1.80658200027219,90.2954374702866,-0.215100176410813,0.830174304688032,((GP722)/(Tx779/Tx780)-B6-04-2-2-B6),7.4627625120831,NEUI,Rust.1
8.96661669106797,2.27122700750401,94.0558239187568,3.94791743028889,0.000152087707073405,((GP722)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),16.8179753101102,NEUI,Rust.1
